#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47403003   3   5   t   24       6          4              1      HO   -12     3      4
 47403002   3   5   t   24       6          4              2      HO   -12     2      4
 47402C03   3   5   t   24       6          5              0      HO   -11     3      4
 47402C02   3   5   t   24       6          5              1      HO   -11     2      4
 47402C04   3   5   t   24       6          5              2      HO   -11     4      4
 47402804   3   5   t   24       6          6              0      HO   -10     4      4
 47402803   3   5   t   24       6          6              1      HO   -10     3      4
 47402802   3   5   t   24       6          6              2      HO   -10     2      4
 47402403   3   5   t   24       6          7              0      HO    -9     3      4
 47402402   3   5   t   24       6          7              1      HO    -9     2      4
 47402404   3   5   t   24       6          7              2      HO    -9     4      4
 47402004   3   5   t   24       6          8              0      HO    -8     4      4
 47402003   3   5   t   24       6          8              1      HO    -8     3      4
 47402002   3   5   t   24       6          8              2      HO    -8     2      4
 47403C48   3   5   b   24       7          1              0      HO   -15    72      4
 47403C47   3   5   b   24       7          1              1      HO   -15    71      4
 47403C01   3   5   b   24       7          1              2      HO   -15     1      4
 47403801   3   5   b   24       7          2              0      HO   -14     1      4
 47403848   3   5   b   24       7          2              1      HO   -14    72      4
 47403847   3   5   b   24       7          2              2      HO   -14    71      4
 47403448   3   5   b   24       7          3              0      HO   -13    72      4
 47403447   3   5   b   24       7          3              1      HO   -13    71      4
 47403401   3   5   b   24       7          3              2      HO   -13     1      4
 47403001   3   5   b   24       7          4              0      HO   -12     1      4
 47403048   3   5   b   24       7          4              1      HO   -12    72      4
 47403047   3   5   b   24       7          4              2      HO   -12    71      4
 47402C48   3   5   b   24       7          5              0      HO   -11    72      4
 47402C47   3   5   b   24       7          5              1      HO   -11    71      4
 47402C01   3   5   b   24       7          5              2      HO   -11     1      4
 47402801   3   5   b   24       7          6              0      HO   -10     1      4
 47402848   3   5   b   24       7          6              1      HO   -10    72      4
 47402847   3   5   b   24       7          6              2      HO   -10    71      4
 47402448   3   5   b   24       7          7              0      HO    -9    72      4
 47402447   3   5   b   24       7          7              1      HO    -9    71      4
 47402401   3   5   b   24       7          7              2      HO    -9     1      4
 47402001   3   5   b   24       7          8              0      HO    -8     1      4
 47402048   3   5   b   24       7          8              1      HO    -8    72      4
 47402047   3   5   b   24       7          8              2      HO    -8    71      4
 47403C09   3   6   t   24       8          1              0      HO   -15     9      4
 47403C0A   3   6   t   24       8          1              1      HO   -15    10      4
 47403C08   3   6   t   24       8          1              2      HO   -15     8      4
 47403808   3   6   t   24       8          2              0      HO   -14     8      4
 47403809   3   6   t   24       8          2              1      HO   -14     9      4
 4740380A   3   6   t   24       8          2              2      HO   -14    10      4
 47403409   3   6   t   24       8          3              0      HO   -13     9      4
 4740340A   3   6   t   24       8          3              1      HO   -13    10      4
 47403408   3   6   t   24       8          3              2      HO   -13     8      4
 47403008   3   6   t   24       8          4              0      HO   -12     8      4
 47403009   3   6   t   24       8          4              1      HO   -12     9      4
 4740300A   3   6   t   24       8          4              2      HO   -12    10      4
 47402C09   3   6   t   24       8          5              0      HO   -11     9      4
 47402C0A   3   6   t   24       8          5              1      HO   -11    10      4
 47402C08   3   6   t   24       8          5              2      HO   -11     8      4
 47402808   3   6   t   24       8          6              0      HO   -10     8      4
 47402809   3   6   t   24       8          6              1      HO   -10     9      4
 4740280A   3   6   t   24       8          6              2      HO   -10    10      4
 47402409   3   6   t   24       8          7              0      HO    -9     9      4
 4740240A   3   6   t   24       8          7              1      HO    -9    10      4
 47402408   3   6   t   24       8          7              2      HO    -9     8      4
 47402008   3   6   t   24       8          8              0      HO    -8     8      4
