#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 49309009  50  12   u    0       0         11              3      HF   -36     9      3
 49208807  50  12   u    0       0         12              0      HF   -34     7      2
 49308807  50  12   u    0       0         12              1      HF   -34     7      3
 49208007  50  12   u    0       0         12              2      HF   -32     7      2
 49308007  50  12   u    0       0         12              3      HF   -32     7      3
 49207807  50  12   u    0       0         13              0      HF   -30     7      2
 49307807  50  12   u    0       0         13              1      HF   -30     7      3
 49208407  50  12   u    0       0         13              2      HF   -33     7      2
 49308407  50  12   u    0       0         13              3      HF   -33     7      3
 49207C07  50  12   u    0       0         14              0      HF   -31     7      2
 49307C07  50  12   u    0       0         14              1      HF   -31     7      3
 49207407  50  12   u    0       0         14              2      HF   -29     7      2
 49307407  50  12   u    0       0         14              3      HF   -29     7      3
 49108807  50  12   u    0       0         15              0      HF   -34     7      1
 49408807  50  12   u    0       0         15              1      HF   -34     7      4
 49108007  50  12   u    0       0         15              2      HF   -32     7      1
 49408007  50  12   u    0       0         15              3      HF   -32     7      4
 49107807  50  12   u    0       0         16              0      HF   -30     7      1
 49407807  50  12   u    0       0         16              1      HF   -30     7      4
 49108407  50  12   u    0       0         16              2      HF   -33     7      1
 49408407  50  12   u    0       0         16              3      HF   -33     7      4
 49107C07  50  12   u    0       0         17              0      HF   -31     7      1
 49407C07  50  12   u    0       0         17              1      HF   -31     7      4
 49107407  50  12   u    0       0         17              2      HF   -29     7      1
 49407407  50  12   u    0       0         17              3      HF   -29     7      4
 4920A007  50  12   u    0       0         18              0      HF   -40     7      2
 4930A007  50  12   u    0       0         18              1      HF   -40     7      3
 49209807  50  12   u    0       0         18              2      HF   -38     7      2
 49309807  50  12   u    0       0         18              3      HF   -38     7      3
 49209007  50  12   u    0       0         19              0      HF   -36     7      2
 49309007  50  12   u    0       0         19              1      HF   -36     7      3
 49209C07  50  12   u    0       0         19              2      HF   -39     7      2
 49309C07  50  12   u    0       0         19              3      HF   -39     7      3
 49209407  50  12   u    0       0         20              0      HF   -37     7      2
 49309407  50  12   u    0       0         20              1      HF   -37     7      3
 49208C07  50  12   u    0       0         20              2      HF   -35     7      2
 49308C07  50  12   u    0       0         20              3      HF   -35     7      3
 4910A007  50  12   u    0       0         21              0      HF   -40     7      1
 4940A007  50  12   u    0       0         21              1      HF   -40     7      4
 49109807  50  12   u    0       0         21              2      HF   -38     7      1
 49409807  50  12   u    0       0         21              3      HF   -38     7      4
 49109007  50  12   u    0       0         22              0      HF   -36     7      1
 49409007  50  12   u    0       0         22              1      HF   -36     7      4
 49109C07  50  12   u    0       0         22              2      HF   -39     7      1
 49409C07  50  12   u    0       0         22              3      HF   -39     7      4
 49109407  50  12   u    0       0         23              0      HF   -37     7      1
 49409407  50  12   u    0       0         23              1      HF   -37     7      4
 49108C07  50  12   u    0       0         23              2      HF   -35     7      1
 49408C07  50  12   u    0       0         23              3      HF   -35     7      4
