New HCAL QIETypes set
#             eta             phi             dep             det    value      DetId
              -10               5               1              HB               0   43102805
              -11               5               1              HB               0   43102C05
              -12               5               1              HB               0   43103005
              -13               5               1              HB               0   43103405
              -14               5               1              HB               0   43103805
              -15               5               1              HB               0   43103C05
              -15               5               2              HB               0   43203C05
              -16               5               1              HB               0   43104005
              -16               5               2              HB               0   43204005
               -1               6               1              HB               0   43100406
               -2               6               1              HB               0   43100806
               -3               6               1              HB               0   43100C06
               -4               6               1              HB               0   43101006
               -5               6               1              HB               0   43101406
               -6               6               1              HB               0   43101806
               -7               6               1              HB               0   43101C06
               -8               6               1              HB               0   43102006
               -9               6               1              HB               0   43102406
              -10               6               1              HB               0   43102806
              -11               6               1              HB               0   43102C06
              -12               6               1              HB               0   43103006
              -13               6               1              HB               0   43103406
              -14               6               1              HB               0   43103806
              -15               6               1              HB               0   43103C06
              -15               6               2              HB               0   43203C06
              -16               6               1              HB               0   43104006
              -16               6               2              HB               0   43204006
               -1               7               1              HB               0   43100407
               -2               7               1              HB               0   43100807
               -3               7               1              HB               0   43100C07
               -4               7               1              HB               0   43101007
               -5               7               1              HB               0   43101407
               -6               7               1              HB               0   43101807
               -7               7               1              HB               0   43101C07
               -8               7               1              HB               0   43102007
               -9               7               1              HB               0   43102407
              -10               7               1              HB               0   43102807
              -11               7               1              HB               0   43102C07
              -12               7               1              HB               0   43103007
              -13               7               1              HB               0   43103407
              -14               7               1              HB               0   43103807
              -15               7               1              HB               0   43103C07
              -15               7               2              HB               0   43203C07
              -16               7               1              HB               0   43104007
              -16               7               2              HB               0   43204007
               -1               8               1              HB               0   43100408
               -2               8               1              HB               0   43100808
               -3               8               1              HB               0   43100C08
               -4               8               1              HB               0   43101008
               -5               8               1              HB               0   43101408
               -6               8               1              HB               0   43101808
               -7               8               1              HB               0   43101C08
               -8               8               1              HB               0   43102008
               -9               8               1              HB               0   43102408
              -10               8               1              HB               0   43102808
              -11               8               1              HB               0   43102C08
              -12               8               1              HB               0   43103008
              -13               8               1              HB               0   43103408
              -14               8               1              HB               0   43103808
              -15               8               1              HB               0   43103C08
              -15               8               2              HB               0   43203C08
              -16               8               1              HB               0   43104008
              -16               8               2              HB               0   43204008
               -1               9               1              HB               0   43100409
               -2               9               1              HB               0   43100809
               -3               9               1              HB               0   43100C09
               -4               9               1              HB               0   43101009
               -5               9               1              HB               0   43101409
               -6               9               1              HB               0   43101809
               -7               9               1              HB               0   43101C09
               -8               9               1              HB               0   43102009
               -9               9               1              HB               0   43102409
              -10               9               1              HB               0   43102809
              -11               9               1              HB               0   43102C09
              -12               9               1              HB               0   43103009
              -13               9               1              HB               0   43103409
              -14               9               1              HB               0   43103809
              -15               9               1              HB               0   43103C09
              -15               9               2              HB               0   43203C09
              -16               9               1              HB               0   43104009
              -16               9               2              HB               0   43204009
               -1              10               1              HB               0   4310040A
               -2              10               1              HB               0   4310080A
               -3              10               1              HB               0   43100C0A
               -4              10               1              HB               0   4310100A
               -5              10               1              HB               0   4310140A
               -6              10               1              HB               0   4310180A
               -7              10               1              HB               0   43101C0A
               -8              10               1              HB               0   4310200A
               -9              10               1              HB               0   4310240A
              -10              10               1              HB               0   4310280A
              -11              10               1              HB               0   43102C0A
              -12              10               1              HB               0   4310300A
              -13              10               1              HB               0   4310340A
              -14              10               1              HB               0   4310380A
              -15              10               1              HB               0   43103C0A
              -15              10               2              HB               0   43203C0A
              -16              10               1              HB               0   4310400A
              -16              10               2              HB               0   4320400A
               -1              11               1              HB               0   4310040B
               -2              11               1              HB               0   4310080B
               -3              11               1              HB               0   43100C0B
               -4              11               1              HB               0   4310100B
               -5              11               1              HB               0   4310140B
               -6              11               1              HB               0   4310180B
               -7              11               1              HB               0   43101C0B
               -8              11               1              HB               0   4310200B
               -9              11               1              HB               0   4310240B
              -10              11               1              HB               0   4310280B
              -11              11               1              HB               0   43102C0B
              -12              11               1              HB               0   4310300B
              -13              11               1              HB               0   4310340B
              -14              11               1              HB               0   4310380B
              -15              11               1              HB               0   43103C0B
              -15              11               2              HB               0   43203C0B
              -16              11               1              HB               0   4310400B
              -16              11               2              HB               0   4320400B
               -1              12               1              HB               0   4310040C
               -2              12               1              HB               0   4310080C
               -3              12               1              HB               0   43100C0C
               -4              12               1              HB               0   4310100C
               -5              12               1              HB               0   4310140C
               -6              12               1              HB               0   4310180C
               -7              12               1              HB               0   43101C0C
               -8              12               1              HB               0   4310200C
               -9              12               1              HB               0   4310240C
              -10              12               1              HB               0   4310280C
              -11              12               1              HB               0   43102C0C
              -12              12               1              HB               0   4310300C
              -13              12               1              HB               0   4310340C
              -14              12               1              HB               0   4310380C
              -15              12               1              HB               0   43103C0C
              -15              12               2              HB               0   43203C0C
              -16              12               1              HB               0   4310400C
              -16              12               2              HB               0   4320400C
               -1              13               1              HB               0   4310040D
               -2              13               1              HB               0   4310080D
               -3              13               1              HB               0   43100C0D
               -4              13               1              HB               0   4310100D
               -5              13               1              HB               0   4310140D
               -6              13               1              HB               0   4310180D
               -7              13               1              HB               0   43101C0D
               -8              13               1              HB               0   4310200D
               -9              13               1              HB               0   4310240D
              -10              13               1              HB               0   4310280D
              -11              13               1              HB               0   43102C0D
              -12              13               1              HB               0   4310300D
              -13              13               1              HB               0   4310340D
              -14              13               1              HB               0   4310380D
              -15              13               1              HB               0   43103C0D
              -15              13               2              HB               0   43203C0D
              -16              13               1              HB               0   4310400D
              -16              13               2              HB               0   4320400D
               -1              14               1              HB               0   4310040E
               -2              14               1              HB               0   4310080E
               -3              14               1              HB               0   43100C0E
               -4              14               1              HB               0   4310100E
               -5              14               1              HB               0   4310140E
               -6              14               1              HB               0   4310180E
               -7              14               1              HB               0   43101C0E
               -8              14               1              HB               0   4310200E
               -9              14               1              HB               0   4310240E
